"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"595","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","1.5 cl Galliano","Shake and strain into a chilled cocktail glass","All Day",NA,"Yellow Bird","galliano"
"596","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","1.5 cl Triple sec","Shake and strain into a chilled cocktail glass","All Day",NA,"Yellow Bird","triple sec"
"597","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","1.5 cl Lime juice","Shake and strain into a chilled cocktail glass","All Day",NA,"Yellow Bird","lime juice"
"598","Cocktail","beer",NA,NA,NA,NA,"Mix thoroughly and drink quickly.",NA,"10 parts beer","Yorsh","beer"
"599","Cocktail","vodka",NA,NA,NA,NA,"Mix thoroughly and drink quickly.",NA,"10 parts beer","Yorsh","beer"
"600","Cocktail","beer",NA,NA,NA,NA,"Mix thoroughly and drink quickly.",NA,"1 part vodka (Ratio varies according to taste.)","Yorsh","vodka"
"601","Cocktail","vodka",NA,NA,NA,NA,"Mix thoroughly and drink quickly.",NA,"1 part vodka (Ratio varies according to taste.)","Yorsh","vodka"
"602","Mixed drink","rum","On the rocks; poured over ice","mint sprig","Tiki Mug",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"Tiki Mug","Zombie","tiki mug"
"603","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1 1/2 oz  Puerto Rican golden rum",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1 1/2 oz  Puerto Rican golden rum","Zombie","rum"
"604","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1 1/2 oz Jamaican rum",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1 1/2 oz Jamaican rum","Zombie","rum"
"605","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1 oz demerara 151 rum",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1 oz demerara 151 rum","Zombie","rum"
"606","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1/2 oz Donn's Mix (2:1 mix of grapefruit juice & cinnamon syrup)",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1/2 oz Donn's Mix (2:1 mix of grapefruit juice & cinnamon syrup)","Zombie","donns mix"
"607","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1/2 oz Velvet Falernum",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1/2 oz Velvet Falernum","Zombie","velvet falernum"
"608","Mixed drink","rum","On the rocks; poured over ice","mint sprig","3/4 oz  lime juice",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"3/4 oz  lime juice","Zombie","lime juice"
"609","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1/4 oz grenadine",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1/4 oz grenadine","Zombie","grenadine"
"610","Mixed drink","rum","On the rocks; poured over ice","mint sprig","2 dashes absinthe",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"2 dashes absinthe","Zombie","absinthe"
"611","Mixed drink","rum","On the rocks; poured over ice","mint sprig","1 dash angostura bitters",NA,"Mix ingredients in a shaker with ice.  Pour into tiki mug filled with crushed ice.",NA,"1 dash angostura bitters","Zombie","bitters"
